groundtruth,dist_orig,dist_noisy,robustness_score
1.0,0.011002033,0.47575542,0.7505493
1.0,0.029393898,0.9536541,0.71530974
1.0,0.050305586,0.6138689,0.29405722
1.0,0.031869058,0.38808823,0.5457922
1.0,0.00931331,0.49721918,0.5752317
1.0,0.008658407,0.51645505,0.8349081
1.0,0.018745989,0.35564777,0.61790836
1.0,0.035514835,0.36560288,0.7529329
1.0,0.016882192,0.2947331,0.8612141
1.0,0.025888747,0.28549436,0.85445964
1.0,0.02335005,0.44252208,0.77211255
1.0,0.34239778,0.35262343,0.3408061
1.0,0.0296825,0.6294432,0.43348712
1.0,0.09654861,0.37993133,0.81017363
1.0,0.01080387,0.5740757,0.61557865
1.0,0.024713537,0.5185023,0.5935513
1.0,0.030011747,0.4302468,0.5342874
1.0,0.02439534,0.3019993,0.39680797
1.0,0.021889182,0.52245474,0.5739145
1.0,0.020596307,0.5319315,0.29519993
1.0,0.014340287,0.62902844,0.6945421
1.0,0.039850976,0.24455473,0.817314
1.0,0.030721398,0.26489502,0.4856612
1.0,0.018658016,0.25892273,0.88851476
1.0,0.12701705,0.33889005,0.29663593
1.0,0.02121776,0.2674383,0.6270644
1.0,0.040757995,0.28855482,0.6071907
1.0,0.018961504,0.3180036,0.5998157
1.0,0.019321356,0.4103777,0.7593549
1.0,0.012966209,0.50860393,0.8184312
1.0,0.043221194,0.37856635,0.6960101
1.0,0.029232949,0.15701824,0.52996236
1.0,0.07255022,0.76066315,0.1843451
1.0,0.06141563,0.97951263,0.51076114
1.0,0.012008129,0.2708772,0.5447901
1.0,0.04366358,0.43996456,0.6327955
1.0,0.034288745,0.22296868,0.6818435
1.0,0.04232248,0.67441916,0.40027404
1.0,0.010303078,0.5160009,0.6552372
1.0,0.02471354,0.23615386,0.42491218
1.0,0.13392381,0.6286369,0.25125635
1.0,0.027448656,0.49509016,0.88572335
1.0,0.029697342,0.23310798,0.42712468
1.0,0.012195045,0.33740804,0.694849
1.0,0.014891191,0.34486398,0.5500176
1.0,0.023354486,0.30997428,0.52171123
1.0,0.05797375,0.48721611,0.5235317
1.0,0.03486727,0.5470055,0.42075223
1.0,0.0021027576,0.39511862,0.6413219
1.0,0.05588757,0.26770705,0.58445626
1.0,0.038234517,0.38041556,0.7800661
1.0,0.017519759,0.46553692,0.76870924
1.0,0.10145874,0.5987423,0.23749076
1.0,0.035625026,0.1766615,0.9601775
1.0,0.021835627,0.29134485,0.7274523
1.0,0.035356585,0.32479087,0.61236864
1.0,0.075076796,0.36392814,0.25715372
1.0,0.040823326,0.8586144,0.59129703
1.0,0.04082454,0.59956205,0.6408403
1.0,0.033374,0.57811904,0.739169
1.0,0.03666278,0.44895777,0.4529185
1.0,0.031700727,0.64328665,0.6666012
1.0,0.021622548,0.3776296,0.5719167
1.0,0.025301628,0.27931276,0.81116843
1.0,0.009694064,0.37642452,0.6265902
1.0,0.024160914,0.5383561,0.79015154
1.0,0.023835734,0.17552492,0.6103885
1.0,0.04363076,0.49959967,0.52931756
1.0,0.03848704,0.30067882,0.4195698
1.0,0.020362994,0.42802384,0.34840444
1.0,0.055404674,0.60891736,0.8176472
1.0,0.034526624,0.8604767,0.6527133
1.0,0.032398313,0.50408167,0.6703006
1.0,0.024161112,0.540099,0.7804152
1.0,0.032730483,0.19151208,0.7121215
1.0,0.024629595,0.42019603,0.74419975
1.0,0.031990107,0.401876,0.3863838
1.0,0.033863496,0.546601,0.6230988
1.0,0.01559785,0.9348727,0.68878496
1.0,0.022398815,0.5671886,0.53319615
1.0,0.008659918,0.24808107,0.6332726
1.0,0.012538067,0.47263008,0.67086923
1.0,0.10086935,0.40485275,0.27414617
1.0,0.03911126,0.5514132,0.7141117
1.0,0.013771855,0.42742202,0.68069494
1.0,0.013771865,0.4133839,0.7403183
1.0,0.056683622,0.81379104,0.24790758
1.0,0.025686804,0.73251307,0.62328845
1.0,0.029217979,0.17778802,0.88946134
1.0,0.02868468,0.3252118,0.8151401
1.0,0.040093437,0.2716893,0.6455108
1.0,0.041415773,0.39185262,0.8751986
1.0,0.033956423,0.3486,0.6212157
1.0,0.006663564,0.37237227,0.74240685
1.0,0.019552669,0.33052203,0.7140919
1.0,0.041777056,0.40267998,0.504445
