groundtruth,dist_orig,dist_noisy,robustness_score
1.0,0.0110020405,0.4700034,0.7019845
1.0,0.029393885,0.76966727,0.45173115
1.0,0.05030559,0.5466891,0.3517201
1.0,0.031869054,0.24359207,0.67107886
1.0,0.009313305,0.19603114,0.4622708
1.0,0.008658409,0.44450197,0.69230866
1.0,0.018745994,0.28056663,0.5588989
1.0,0.035514824,0.3324122,0.52846444
1.0,0.016882204,0.48253247,0.6537041
1.0,0.025888747,0.3409027,0.5451909
1.0,0.023350056,0.27085146,0.49287045
1.0,0.34239778,0.35240206,0.23615128
1.0,0.029682495,0.42056385,0.37278908
1.0,0.09654862,0.19605786,0.48904827
1.0,0.010803871,0.3895003,0.698326
1.0,0.024713535,0.50301516,0.6432117
1.0,0.03001175,0.25221217,0.41926014
1.0,0.024395358,0.80836594,0.44036222
1.0,0.021889186,0.16261472,0.478816
1.0,0.020596312,0.47648674,0.30918944
1.0,0.014340307,0.55368465,0.43841574
1.0,0.039850984,0.31263083,0.70757145
1.0,0.03072139,0.36998752,0.3890679
1.0,0.018658014,0.4431225,0.72242486
1.0,0.12701707,0.45949906,0.39518148
1.0,0.02121775,0.46731398,0.55517125
1.0,0.040758003,0.3790989,0.62932897
1.0,0.01896151,0.5435329,0.5872588
1.0,0.019321362,0.42807546,0.6770698
1.0,0.012966209,0.5435888,0.5639651
1.0,0.0432212,0.54201597,0.4934899
1.0,0.029232947,0.40984154,0.56998295
1.0,0.072550215,0.62188864,0.26245236
1.0,0.061415628,0.4950865,0.33678526
1.0,0.0120081315,0.29874942,0.47017157
1.0,0.0436636,0.5021283,0.6887977
1.0,0.034288757,0.44579425,0.5409273
1.0,0.04232248,0.90363747,0.13454911
1.0,0.010303075,0.2142618,0.4891549
1.0,0.024713535,0.47479707,0.7345452
1.0,0.1339238,0.46771127,0.25876814
1.0,0.027448675,0.31011492,0.7416738
1.0,0.029697325,0.23796158,0.48797852
1.0,0.012195058,0.43290448,0.49915832
1.0,0.014891192,0.2898143,0.45001635
1.0,0.023354486,0.38053828,0.38733837
1.0,0.057973757,0.43261647,0.5324758
1.0,0.034867268,0.4975224,0.42018282
1.0,0.0021027564,0.66002065,0.5119388
1.0,0.055887543,0.29020116,0.43940675
1.0,0.03823453,0.56179786,0.6602788
1.0,0.017519766,0.38618574,0.70737255
1.0,0.101458736,0.57289463,0.20785825
1.0,0.035625014,0.3963263,0.7096717
1.0,0.021835636,0.17361452,0.52908826
1.0,0.035356596,0.46702483,0.45406395
1.0,0.0750768,0.5122576,0.35812432
1.0,0.040823337,0.67052794,0.51731026
1.0,0.04082454,0.32870045,0.52223915
1.0,0.033374004,0.5349586,0.64712214
1.0,0.03666279,0.36128837,0.34820494
1.0,0.031700734,0.23625466,0.47328794
1.0,0.021622544,0.25597876,0.47003147
1.0,0.025301624,0.2621857,0.7241218
1.0,0.009694066,0.4365666,0.6439849
1.0,0.024160918,0.4997023,0.6712444
1.0,0.023835735,0.28286928,0.49783486
1.0,0.04363075,0.3186152,0.53879976
1.0,0.038487017,0.4505415,0.44964248
1.0,0.02036299,0.4668115,0.4173125
1.0,0.055404652,0.7788466,0.73699206
1.0,0.034526635,0.23407003,0.38487065
1.0,0.032398317,0.34160244,0.5909735
1.0,0.024161115,0.49418315,0.6896991
1.0,0.03273048,0.40702248,0.4588008
1.0,0.02462961,0.5153514,0.5367719
1.0,0.03199011,0.69122535,0.54993254
1.0,0.0338635,0.32228887,0.4671603
1.0,0.0155978585,0.45661438,0.65764165
1.0,0.02239881,0.32166025,0.6262827
1.0,0.008659919,0.2983497,0.6249567
1.0,0.012538064,0.5452986,0.6717953
1.0,0.10086935,0.16318521,0.20398347
1.0,0.039111264,0.2212003,0.48150498
1.0,0.013771862,0.25573695,0.79890454
1.0,0.013771868,0.26800755,0.66926694
1.0,0.056683633,0.63443726,0.3487245
1.0,0.025686808,0.65227616,0.5188321
1.0,0.029217985,0.50048983,0.56990314
1.0,0.028684685,0.46477127,0.64801353
1.0,0.040093433,0.32325643,0.55687463
1.0,0.041415773,0.40351364,0.6346132
1.0,0.033956412,0.32497787,0.4550382
1.0,0.0066635557,0.4055676,0.5327521
1.0,0.019552665,0.6518836,0.57119447
1.0,0.041777056,0.38591215,0.39750704
1.0,0.043221194,0.6304607,0.51516604
1.0,0.022384021,0.17809135,0.57001317
1.0,0.036647025,0.20506966,0.44366115
1.0,0.017993374,0.35905972,0.57392293
1.0,0.02555943,0.42062658,0.4675672
1.0,0.08811044,0.18058434,0.32087255
1.0,0.008064679,0.42034808,0.5806236
1.0,0.021980627,0.8581413,0.55661607
1.0,0.02809997,0.5276338,0.6301551
1.0,0.026419058,0.28892052,0.7541898
1.0,0.012066009,0.15611604,0.4353217
1.0,0.026570616,0.1731323,0.47519097
1.0,0.018001346,0.4962819,0.57485175
1.0,0.012066017,0.22014731,0.4467948
1.0,0.010273398,0.31044593,0.78052264
1.0,0.018475594,0.43443885,0.5634277
1.0,0.024160909,0.28438738,0.49443293
1.0,0.012985493,0.3428117,0.64370465
1.0,0.035364352,0.45424688,0.5947319
1.0,0.07402887,0.58214504,0.40432698
1.0,0.027276006,0.2203749,0.6516747
1.0,0.013269801,0.23054877,0.6684378
1.0,0.012031688,0.3708283,0.730842
1.0,0.027076667,0.90867114,0.6586744
1.0,0.0256835,0.5675065,0.5568147
1.0,0.036568753,0.5896446,0.61871195
1.0,0.021892784,0.4773159,0.39925095
1.0,0.049272675,0.30289483,0.5925855
1.0,0.14654654,0.22651696,0.5450028
1.0,0.00757767,0.43945256,0.46558395
1.0,0.07084725,0.55498904,0.3206884
1.0,0.048906084,0.19665737,0.6090249
1.0,0.03756183,0.6037355,0.734128
1.0,0.03327626,0.7207461,0.56698596
1.0,0.031977247,0.17052461,0.3860407
1.0,0.037955202,0.50509614,0.5850427
1.0,0.03009845,0.36900562,0.5478083
1.0,0.039872643,0.547412,0.45081562
1.0,0.03478579,0.26565796,0.5051603
1.0,0.019204048,0.48136654,0.55759084
1.0,0.07974904,1.2578909,0.07744905
1.0,0.013771871,0.21569332,0.61892027
1.0,0.01843325,0.30281052,0.3673031
1.0,0.04187465,0.52982634,0.5454519
1.0,0.019771606,0.24588038,0.62230945
1.0,0.1355585,0.32720244,0.19790818
1.0,0.06752855,0.28559542,0.6805623
1.0,0.02921768,0.14001401,0.49959534
1.0,0.034115087,0.282942,0.43009046
1.0,0.021860126,0.27389193,0.7187835
1.0,0.031487428,0.3092502,0.55725926
1.0,0.01100761,0.40942726,0.70523846
1.0,0.019583829,0.40798253,0.5705692
1.0,0.022897407,0.3311762,0.4666259
1.0,0.048252914,0.80407584,0.4894934
1.0,0.01757621,0.38981882,0.4493804
1.0,0.013960741,0.40515336,0.6105303
1.0,0.07618761,0.54435337,0.37803146
1.0,0.022978432,0.4618449,0.66762245
1.0,0.0187357,0.62293607,0.5185661
1.0,0.015589186,0.3692902,0.6871127
1.0,0.025559433,0.35647613,0.3831036
1.0,0.036646362,0.35044804,0.47416392
1.0,0.019957086,0.48719546,0.5435233
1.0,0.031974256,0.45729768,0.2665951
1.0,0.044160783,0.5277952,0.59157145
1.0,0.027652739,0.44809207,0.50409126
1.0,0.024199553,0.35934335,0.5329832
1.0,0.018126432,0.45062566,0.46758765
1.0,0.020169714,0.40453655,0.51927066
1.0,0.042991843,0.29796508,0.46053767
1.0,0.013269796,0.24141483,0.56312907
1.0,0.044268936,1.1101274,0.0002194643
1.0,0.029755682,0.28892595,0.7042795
1.0,0.020967327,0.3651567,0.6958972
1.0,0.012932423,0.5377872,0.67736006
1.0,0.016403772,0.48674884,0.6043656
1.0,0.020741504,0.24048649,0.4245894
1.0,0.024609046,0.69907355,0.617341
1.0,0.02330898,0.1942161,0.66104245
1.0,0.025400862,0.25279176,0.55293477
1.0,0.0464052,0.1666766,0.5027902
1.0,0.024199545,0.14336729,0.42543152
1.0,0.018336372,0.24448664,0.7673898
1.0,0.02162418,0.29464862,0.59578294
1.0,0.026763938,0.14828974,0.629319
1.0,0.040854767,0.38012928,0.37779424
1.0,0.11622674,0.5623446,0.37200496
1.0,0.21061149,0.20173657,0.46447885
1.0,0.021754356,0.46289536,0.46071965
1.0,0.024812028,0.32547575,0.2947036
1.0,0.035634845,0.3229731,0.41735834
1.0,0.15048684,0.43243265,0.4121487
1.0,0.011937058,0.2717859,0.822904
1.0,0.017995093,0.37082344,0.6307781
1.0,0.016539589,0.32434306,0.5376686
1.0,0.010951754,0.31257516,0.56167275
1.0,0.022897398,0.49034998,0.4616573
1.0,0.038272165,0.4995768,0.71940637
1.0,0.042416967,0.24529506,0.41858402
1.0,0.036910467,0.25357106,0.6829985
1.0,0.011761221,0.37767103,0.6949143
1.0,0.030719718,0.51675975,0.47935045
1.0,0.03238049,0.3758774,0.4682952
1.0,0.08863001,0.22778915,0.5643894
1.0,0.008274673,0.4379907,0.74525726
1.0,0.023186056,0.5640292,0.6117008
1.0,0.020209076,0.3969954,0.5370443
1.0,0.043230113,0.22070855,0.6355706
1.0,0.01030306,0.35622007,0.5084207
1.0,0.02017545,0.43364328,0.541614
1.0,0.011333611,0.48455504,0.7138517
1.0,0.012839305,0.31700128,0.7596406
1.0,0.010438296,0.33428824,0.5292541
1.0,0.012066008,0.27957365,0.5327941
1.0,0.026615072,0.6423825,0.5209027
1.0,0.0063318885,0.45520067,0.520295
1.0,0.025709977,0.26538852,0.43598348
1.0,0.010302251,0.2140587,0.5715435
1.0,0.019611485,0.38935983,0.58008677
1.0,0.050288185,0.5326557,0.26521933
1.0,0.012066005,0.35668206,0.65859103
1.0,0.01100202,0.37616724,0.5146693
1.0,0.046327252,0.6461268,0.470075
1.0,0.009694065,0.47401586,0.68943
1.0,0.068834424,0.32760784,0.22207257
1.0,0.023610407,0.233243,0.36568266
1.0,0.035652813,0.25455794,0.4933082
1.0,0.026717797,0.3157931,0.81521976
1.0,0.0146002,0.30730024,0.47665355
1.0,0.112039015,0.5887842,0.35885742
1.0,0.09268409,0.23243752,0.25067067
1.0,0.059556972,0.2641618,0.32684976
1.0,0.06085103,0.38128302,0.37378794
1.0,0.024584852,0.54556215,0.5066622
1.0,0.009907926,0.41684392,0.67327964
1.0,0.014883591,0.31784314,0.32864922
1.0,0.021738464,0.48141092,0.6684068
1.0,0.020354357,0.40966415,0.6251549
1.0,0.06941473,0.59793144,0.34184894
1.0,0.013771861,0.3975486,0.70205927
1.0,0.028900532,0.6137469,0.81563365
1.0,0.031355835,0.45851043,0.51530063
1.0,0.017558044,0.43271038,0.7144772
1.0,0.029906929,0.3561904,0.49608913
1.0,0.02877167,0.40077224,0.5568348
1.0,0.05972145,0.63075554,0.4932305
1.0,0.0066671995,0.29741666,0.6228277
1.0,0.024276774,0.36345458,0.5232816
1.0,0.009937197,0.28782517,0.7115201
1.0,0.041855138,0.75509435,0.18434879
1.0,0.09281572,0.6816699,0.31225848
1.0,0.030166186,0.45205373,0.713029
1.0,0.016492043,0.42690223,0.71451974
0.0,1.2532909,0.8048812,0.60261214
0.0,1.4438391,0.99737716,0.7042733
0.0,1.322314,0.7468942,0.5911168
0.0,1.9788041,1.04068,0.46058345
0.0,1.5537666,1.5187564,0.75569147
0.0,1.9749504,1.054143,0.5014733
0.0,1.3259903,0.8529644,0.52112997
0.0,1.062201,0.5226597,0.4293484
0.0,1.5034231,0.75838643,0.42656985
0.0,1.9865363,1.0082294,0.50158143
0.0,1.9806231,1.6496826,0.7756698
0.0,1.3256694,0.9232302,0.56698185
0.0,1.4421326,1.1101891,0.9163239
0.0,1.9867582,1.4769753,0.7297253
0.0,1.9793291,0.6365049,0.31473395
0.0,1.9800122,1.1204919,0.5492742
0.0,1.5223491,0.73639053,0.46836
0.0,1.9773008,1.0180256,0.46205717
0.0,1.3231016,0.99037933,0.5846511
0.0,1.3256695,0.8647691,0.6545362
0.0,1.2643098,0.9318484,0.7779298
0.0,1.3045582,0.7978189,0.499932
0.0,1.6429001,1.0180187,0.6645858
0.0,1.2634084,0.91973394,0.67818725
0.0,1.4394581,1.571004,0.68892694
0.0,1.4258233,0.66069055,0.666147
0.0,1.9799426,0.7986334,0.4069535
0.0,1.9820993,0.8770389,0.4301862
0.0,0.98663235,0.7081062,0.5373624
0.0,1.5855155,0.5289943,0.5144136
0.0,1.6652204,1.2015748,0.29567343
0.0,1.9803073,1.1203765,0.48486814
0.0,1.5225189,0.7631603,0.2705319
0.0,1.2774726,0.47721907,0.36232665
0.0,1.5234667,0.5998424,-0.016730309
0.0,1.0776224,0.85972327,0.6799686
0.0,1.979655,0.8313859,0.3868094
0.0,1.287568,0.5632061,0.65918887
0.0,1.2111752,0.49257153,0.32952276
0.0,1.2459309,0.78370315,0.5831926
0.0,1.364716,0.37862432,0.49191678
0.0,1.1755456,0.7957502,0.56700623
0.0,1.3941984,0.5487293,0.5517319
0.0,1.9810644,1.1564983,0.5473586
0.0,1.9755145,0.7291013,0.3523754
0.0,1.9758329,1.0538212,0.4756108
0.0,1.1856955,0.41407475,0.2772294
0.0,1.2484797,0.7698306,0.49523565
0.0,1.56843,0.8765567,0.26740828
0.0,1.2464254,0.9001588,0.3377671
0.0,1.499051,0.8593937,0.5719603
0.0,1.3227671,0.88990647,0.6875862
0.0,1.2889276,0.67658025,0.34643087
0.0,1.9823576,0.816054,0.39428613
0.0,1.503421,0.70587474,0.38570845
0.0,1.4267536,0.94085413,0.23382445
0.0,1.3779352,0.6474653,0.40889394
0.0,1.2715344,0.58734274,0.74862945
0.0,1.2166759,0.58146334,0.37511995
0.0,1.5529809,1.0683864,0.5935825
0.0,1.2441849,0.38810116,0.2859814
0.0,1.8318601,0.53461605,0.41132912
0.0,1.9794934,1.3262281,0.6421663
0.0,1.3682892,0.71696275,0.7325181
0.0,1.5065244,1.2819715,0.647236
0.0,1.7336576,0.80058265,0.5262856
0.0,1.6942048,0.35891324,0.24630862
0.0,1.3375438,0.6681487,0.36378098
0.0,1.3942765,0.6178317,0.34182394
0.0,1.9817199,0.8102827,0.34694597
0.0,1.9885714,1.2423674,0.6137062
0.0,1.9833302,1.1022524,0.51291275
0.0,1.4414264,0.5712724,-0.023290426
0.0,1.4728596,0.74966455,0.20106627
0.0,1.654363,1.039064,0.53332955
0.0,1.1727626,0.6432571,0.39527196
0.0,1.3955201,0.8465209,0.4629213
0.0,1.5309161,0.7130545,0.5424846
0.0,1.3236103,0.80877864,0.5851353
0.0,1.1819566,0.66881484,0.31623712
0.0,1.595048,0.85730135,0.31610978
0.0,1.9862988,1.0217153,0.5006888
0.0,1.2738987,1.1119907,0.6756687
0.0,1.9849309,0.75776374,0.37013203
0.0,1.9755589,1.3338387,0.63075906
0.0,1.5415674,1.0176758,0.8862555
0.0,1.05747,0.2638363,0.1790964
0.0,1.3925174,0.94006664,0.6402474
0.0,1.6175015,0.7819927,0.3740452
0.0,1.5172783,1.035625,0.31535524
0.0,1.9865363,1.1931932,0.57413375
0.0,1.6722438,0.8869865,0.52732635
0.0,1.6451417,0.880664,0.53991425
0.0,1.2635508,1.1372768,0.7425419
0.0,1.324636,0.7404844,0.62853867
0.0,1.0873724,0.82772535,0.65731454
0.0,1.5555619,0.8293949,0.72312814
0.0,1.4223168,0.5443636,0.08720735
0.0,1.368635,0.92610556,0.49380514
0.0,1.3002042,0.66634953,0.3799109
0.0,1.4021461,0.74826014,0.20995098
0.0,1.1737592,0.8904182,0.6173264
0.0,1.3215259,0.9384956,0.7288493
0.0,1.9735187,0.7770567,0.32982284
0.0,1.2486687,1.0807943,0.7370684
0.0,1.976907,0.59100133,0.27174792
0.0,1.3246905,0.82953376,0.62604773
0.0,1.2661215,0.38530123,0.22245876
0.0,1.4614657,0.6956646,0.5647437
0.0,1.4394255,0.948229,0.5139613
0.0,1.5390681,0.9819298,0.47476134
0.0,1.2460161,0.96225965,0.66108114
0.0,1.5373052,0.82123876,0.56094223
0.0,1.9799292,0.85023713,0.39170152
0.0,1.3263285,0.9262631,0.6910298
0.0,1.1568398,0.5863038,0.5229989
0.0,1.981065,1.3474241,0.59137154
0.0,1.3714993,0.4517835,0.44086015
0.0,1.0127442,0.49511784,0.2469041
0.0,1.9816144,1.1344743,0.554244
0.0,1.2394812,1.0020446,0.39252242
0.0,1.1922696,0.91089994,0.52805895
0.0,1.5218084,0.6390244,0.22612686
0.0,0.9042581,0.44762933,0.49492747
0.0,1.3239058,1.0195007,0.72084755
0.0,1.9720225,0.8143914,0.29998237
0.0,1.6009632,0.97849137,0.46929836
0.0,1.0003028,0.4477508,0.32617396
0.0,1.9731877,0.43957973,0.19189598
0.0,1.2026844,1.043328,0.8010509
0.0,1.3314576,0.8786226,0.7084309
0.0,1.3246242,0.89067006,0.559753
0.0,1.3613973,0.7530429,0.6385086
0.0,1.982135,0.632881,0.26424548
0.0,1.8328309,0.3923858,0.3402359
0.0,1.2122406,0.73688966,0.2082935
0.0,1.3722267,0.55830884,0.35992122
0.0,1.2357652,0.6479467,0.40922213
0.0,1.2737377,0.63708436,0.7338506
0.0,1.6562673,1.3123693,0.677521
0.0,1.981081,1.1438123,0.52182627
0.0,1.5502875,0.64153254,0.54291767
0.0,1.4401352,0.7646253,0.28879273
0.0,1.1435608,0.58726805,0.5354848
0.0,1.986868,0.7729092,0.37982693
0.0,1.5355073,0.32255176,0.26461324
0.0,1.9819697,0.94176483,0.39086854
0.0,1.2484813,0.59691334,0.42764705
0.0,1.2651682,0.6268156,0.23404998
0.0,1.2736304,0.77616733,0.50992525
0.0,1.3250576,0.96360564,0.70328677
0.0,1.9781035,0.9753013,0.43170106
0.0,1.5494671,1.1096721,0.6060972
0.0,0.9510064,0.5277302,0.43155622
0.0,1.9761509,1.0955522,0.5304502
0.0,1.5803858,1.120925,0.6328744
0.0,1.5132838,1.0915815,0.37233564
0.0,1.247228,0.67666423,0.6294075
0.0,0.9546085,0.45673436,0.19363344
0.0,1.1233548,0.8324322,0.58043385
0.0,1.3205447,0.45260617,-0.11060241
0.0,1.2320856,1.0680587,0.7545817
0.0,1.5088183,1.0473433,0.66249025
0.0,1.3246359,0.9491309,0.6710605
0.0,1.0273856,0.7284973,0.47522396
0.0,1.3707597,0.6757552,0.08577588
0.0,1.2334534,1.2274686,0.74381423
0.0,1.5749276,0.6425415,0.5455972
